Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
278923,77121379,76,-11,62.8288,10.2318,41.117,-46.3912,42.371,-0.946899,1.3269,1,11,45.1687,-4.4277,-40.4096,-19.6892,40.6514,-0.467163,-1.67993,-1,11,19.1875,-3.59467,-15.576,10.612,15.9854,0.622803,-1.79761,-1,-11,12.7146,12.0397,-1.7287,3.70222,12.1632,0.299866,-0.142609,1,85.2212,21.0255,128.116
279667,22971279,72,11,61.9385,-3.89047,-54.1054,29.8973,54.2451,0.526489,-1.64258,-1,-11,73.8486,-24.8298,28.6059,63.394,37.879,1.28735,2.28564,1,-13,42.7254,36.0321,-13.4617,18.5988,38.4647,0.466431,-0.357544,1,13,55.8127,-17.1303,20.4712,-49.0156,26.693,-1.36792,2.26758,-1,90.8834,91.5323,224.759
279667,812208114,507,11,92.0813,40.7572,82.3732,5.69861,91.9048,0.0619659,1.11133,-1,-11,62.0697,-44.6107,41.8441,-10.5644,61.1641,-0.171875,2.38818,1,13,119.762,-12.5463,-117.687,-18.3086,118.354,-0.154083,-1.677,-1,-13,28.1119,13.5531,0.525132,24.6232,13.5633,1.35791,0.0387268,1,91.0718,89.9933,301.925
279667,1738465351,997,-11,155.26,-109.969,-12.9998,108.828,110.735,0.869141,-3.02393,1,11,103.854,-29.7955,-43.2699,89.5861,52.5362,1.30347,-2.17383,-1,-13,151.394,48.5009,-65.6074,-127.529,81.5884,-1.22925,-0.934204,1,13,54.3974,49.5445,12.2217,-18.8423,51.0297,-0.361328,0.241852,-1,91.9935,71.2166,446.838
279694,3989731853,2211,-11,104.672,47.2352,-28.0274,-89.1039,54.9245,-1.26074,-0.535522,1,11,196.44,-40.7381,-14.0682,-191.654,43.0988,-2.19775,-2.80908,-1,13,287.15,-27.168,47.5548,-281.879,54.7682,-2.34082,2.08984,-1,-13,85.0584,21.817,-18.3652,-80.1353,28.5177,-1.75659,-0.699707,1,100.146,81.2674,200.093
279694,3999167551,2218,-11,58.4792,-9.18052,46.1083,34.7787,47.0133,0.684937,1.76733,1,-11,37.9656,2.46532,-37.3481,-6.35712,37.4294,-0.169037,-1.50488,1,11,36.2261,8.57189,-25.2405,-24.5308,26.6563,-0.823853,-1.24341,-1,11,32.8101,-12.9699,18.934,23.4474,22.9503,0.896606,2.17139,-1,91.8055,65.3276,162.81
279844,117413533,134,11,61.4316,-55.188,-4.13013,26.6658,55.3424,0.464905,-3.06689,-1,-11,93.6951,14.4923,-20.4266,90.2857,25.0454,1.99414,-0.953735,1,13,67.1948,28.827,47.5327,-37.7461,55.591,-0.635376,1.02563,-1,-13,56.874,25.5933,-42.3171,-28.0871,49.4546,-0.541138,-1.02686,1,90.1525,89.8346,273.449
279931,602263219,401,-11,168.603,-42.3638,-12.0374,-162.749,44.0408,-2.01807,-2.86475,1,11,24.0039,19.9133,-12.2036,-5.54246,23.3553,-0.235138,-0.549805,-1,13,134.932,37.4992,16.5371,-128.558,40.9837,-1.86084,0.415344,-1,-13,31.2319,-27.7827,10.3755,-9.79228,29.6569,-0.324463,2.78418,1,87.6562,87.4709,185.791
279931,602772946,401,11,87.7386,49.5293,-19.2451,-69.8179,53.1368,-1.08691,-0.370605,-1,-11,38.3499,0.533107,38.3187,1.45229,38.3224,0.0378876,1.55688,1,-13,73.6761,-37.1315,-46.1302,-43.834,59.2177,-0.685303,-2.24854,1,13,78.0118,14.3071,28.083,-71.3616,31.5174,-1.55591,1.09961,-1,91.4025,94.3003,206.693
279931,1672834881,978,11,81.2422,13.1408,-29.9813,-74.3555,32.7347,-1.55884,-1.15771,-1,-11,39.7251,-3.00888,-14.6084,36.8189,14.915,1.6355,-1.77393,1,-13,51.7203,31.1487,36.6569,-19.0003,48.1037,-0.385376,0.866455,1,13,47.1151,-46.4578,0.63479,7.81649,46.4621,0.16745,3.12793,-1,89.5451,105.514,214.148
279931,787841671,506,-11,202.18,-115.144,-43.7069,160.339,123.16,1.07959,-2.77881,1,11,33.2799,10.3667,15.4639,27.5852,18.6172,1.18457,0.980225,-1,-11,62.5187,-1.40107,11.3286,-61.4677,11.4149,-2.38525,1.69385,1,11,48.331,3.29926,-7.86454,-47.5725,8.52855,-2.41992,-1.17358,-1,91.3799,19.5525,320.172
