Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
283680,7270957,6,11,118.732,43.482,14.0631,109.585,45.6996,1.60864,0.312805,-1,11,65.512,-33.7106,-4.13532,56.0206,33.9633,1.2749,-3.01953,-1,-11,18.6371,-13.4926,-2.27422,12.6533,13.683,0.827148,-2.97461,1,-11,14.2291,-3.16719,-8.70017,10.8043,9.25872,0.994629,-1.91992,1,53.7567,19.1927,106.506
281693,498913396,264,11,41.6243,33.1083,-10.301,23.0285,34.6738,0.623047,-0.301636,-1,-11,35.2863,-30.4524,-14.9011,9.78404,33.9027,0.284729,-2.68652,1,13,64.5963,-19.8923,54.6434,-28.1258,58.1516,-0.466553,1.91992,-1,-13,38.3208,-16.0344,-16.3904,30.7038,22.9292,1.10205,-2.34521,1,88.4944,64.7795,172.651
283059,791723999,419,11,65.0561,-9.60095,31.3838,56.1709,32.8196,1.30664,1.86768,-1,-11,38.2395,-14.2201,4.53292,-35.2065,14.9251,-1.59351,2.83301,1,-13,86.0067,33.4324,-14.537,-77.8979,36.4562,-1.50317,-0.410156,1,13,33.7545,-19.4855,-19.0245,19.9434,27.2326,0.678955,-2.36816,-1,91.5042,98.3011,219.734
283353,1125962139,703,-11,202.79,37.9858,-196.545,32.4143,200.182,0.161224,-1.37988,1,11,66.2092,6.46679,-39.7865,52.525,40.3086,1.08032,-1.40967,-1,13,108.501,29.6445,100.4,-28.5191,104.685,-0.269165,1.28369,-1,-13,96.6377,-58.8826,64.9004,-40.7383,87.6311,-0.449585,2.30762,1,95.425,85.5393,468.277
282814,770288126,397,11,77.0596,-38.7561,-32.0142,-58.4058,50.2687,-0.991333,-2.45117,-1,-11,31.0229,19.1337,23.9262,4.884,30.636,0.158752,0.89624,1,-13,55.1241,25.18,48.9219,3.35656,55.0217,0.0609665,1.09546,1,13,38.4515,-10.849,-36.8415,-1.8725,38.4057,-0.0487366,-1.85718,-1,91.4701,91.6671,194.715
283820,1345040615,762,11,53.7718,18.6075,44.9695,-22.8672,48.6672,-0.454102,1.17847,-1,-11,42.6359,11.4336,-37.8375,15.9816,39.5273,0.394043,-1.27734,1,13,270.176,-38.5961,55.8167,-261.514,67.8613,-2.05859,2.17578,-1,-13,59.2357,14.8619,-22.8566,-52.5885,27.2635,-1.41138,-0.994263,1,91.0697,90.5625,276.841
283820,1352007003,766,-11,451.918,65.7241,-32.6247,-445.921,73.376,-2.50439,-0.460754,1,11,16.7108,-0.0801799,-15.6252,-5.92433,15.6254,-0.370605,-1.57593,-1,-13,127.625,-71.4345,56.075,89.6704,90.8146,0.872437,2.47607,1,13,64.4198,4.01954,-11.2291,63.306,11.9268,2.37109,-1.22705,-1,93.8682,83.207,589.196
283877,2490963909,1423,-11,89.6701,-75.8268,-26.2269,40.0396,80.2344,0.480347,-2.80859,1,11,27.6358,4.10846,16.7542,-21.5906,17.2506,-1.04858,1.33032,-1,-13,75.4257,60.7662,26.9309,35.6542,66.4666,0.51355,0.417175,1,13,20.6247,-0.660245,-15.4425,13.655,15.4566,0.796509,-1.61353,-1,90.4824,55.2229,201.967
283884,563594618,521,11,30.4647,-7.17579,-25.8275,-14.4758,26.8058,-0.516724,-1.8418,-1,-11,39.5198,11.9987,3.93089,37.4485,12.6262,1.80762,0.316589,1,-13,64.2436,-15.4074,42.3558,45.7802,45.071,0.892456,1.91968,1,13,142.568,12.1011,-26.962,139.472,29.5531,2.25586,-1.14893,-1,90.5816,62.1881,182.248
283885,380480579,214,-11,134.524,64.2077,28.6157,-114.696,70.2957,-1.26562,0.41925,1,11,90.3452,-53.4886,-25.4647,-68.2111,59.2409,-0.984497,-2.69727,-1,11,104.712,-29.7411,-18.4868,-98.6833,35.0185,-1.75928,-2.58545,-1,-11,35.9667,23.3674,8.50972,-25.9835,24.8687,-0.91272,0.349243,1,102.043,76.7288,197.379
283358,1484710456,814,11,62.8291,-7.62115,-53.4592,-32.1172,53.9997,-0.564331,-1.7124,-1,11,257.331,11.5753,51.0106,-251.959,52.3075,-2.27588,1.34766,-1,-11,38.4729,-25.6248,26.8415,10.1518,37.1092,0.270264,2.33301,1,-11,18.0071,-15.7439,-1.58883,-8.59364,15.8239,-0.519409,-3.04102,1,89.2515,73.9168,245.197
283308,1184217302,617,-11,44.096,-43.5008,1.9125,-6.96179,43.5428,-0.15921,3.09766,1,11,59.9617,40.0922,2.27972,-44.5288,40.157,-0.956299,0.0568008,-1,-11,51.113,-24.7685,26.7698,35.8111,36.4705,0.86853,2.31738,1,11,41.7287,24.7473,-13.6729,-30.6903,28.2732,-0.940552,-0.504761,-1,91.7706,90.2637,190.548
283408,2188096033,1272,11,225.068,58.1799,116.014,-183.879,129.785,-1.14771,1.10596,-1,-11,29.4083,-20.5891,9.16826,-18.8911,22.5381,-0.762207,2.72266,1,-11,13.9909,4.50842,-11.0173,7.3503,11.9041,0.58374,-1.18237,1,11,9.44947,-6.59251,2.99368,-6.07108,7.2404,-0.762451,2.71533,-1,80.9869,21.8882,147.147
283876,179889674,152,11,116.493,64.3572,9.28271,-96.6575,65.0232,-1.18726,0.14325,-1,-11,26.6229,-7.8141,24.105,8.16514,25.3399,0.316895,1.88428,1,-13,71.4249,-35.3993,-48.8627,-38.2207,60.338,-0.59729,-2.19775,1,13,33.9974,-6.43831,32.4184,7.96276,33.0516,0.238647,1.76685,-1,91.3208,90.4296,217.178
283934,130616823,77,11,72.7546,0.270128,58.2894,43.5374,58.29,0.690674,1.56616,-1,-11,35.6759,-19.2611,-29.9325,2.41331,35.5942,0.067749,-2.14258,1,-13,65.6929,56.0841,20.1571,-27.6372,59.5964,-0.448547,0.345032,1,13,59.5362,-13.8102,-41.4262,-40.4685,43.6675,-0.828613,-1.89258,-1,92.092,93.8322,231.33
283877,1523092503,818,-11,61.8428,27.8431,-27.9726,47.6112,39.4678,1.02002,-0.78772,1,11,111.079,-30.7341,0.735203,-106.74,30.7428,-1.95801,3.11768,-1,-11,28.8334,28.6871,2.41627,1.60244,28.7887,0.0556335,0.0840302,1,11,32.6721,-21.8887,17.7952,-16.4823,28.2097,-0.555298,2.45898,-1,92.236,88.4592,222.293
283877,1671829950,907,11,240.47,74.703,0.371389,228.572,74.7039,1.83716,0.0049715,-1,-11,96.4277,-18.6312,53.8213,77.8103,56.9548,1.11816,1.90405,1,11,63.147,22.7223,-24.5046,53.5795,33.4182,1.25073,-0.82312,-1,-11,28.7833,-16.5342,-5.31508,22.9529,17.3675,1.09155,-2.83057,1,85.584,76.3186,181.106
283884,509406748,485,11,84.5633,-76.1385,17.5116,-32.3609,78.1264,-0.403198,2.91553,-1,-11,32.8288,21.508,-12.6028,-21.3612,24.9284,-0.776489,-0.530029,1,-13,81.1392,49.2374,34.762,-54.3217,60.272,-0.809814,0.614746,1,13,96.6406,-0.102128,-37.9658,-88.8706,37.9659,-1.58643,-1.57349,-1,93.1509,88.8045,219.814
284006,34448418,86,11,152.196,-44.5185,11.4597,-145.087,45.9698,-1.8667,2.88965,-1,11,38.8031,16.9814,-34.7679,-2.91467,38.6934,-0.0752563,-1.11646,-1,-11,56.8796,-0.79632,-31.655,-47.2505,31.665,-1.19043,-1.59595,1,-11,79.3169,5.98091,30.4669,72.9874,31.0484,1.59033,1.37695,1,92.1759,65.2488,301.676
282807,225128678,112,-11,51.0218,30.8884,-18.0082,36.3981,35.7546,0.894043,-0.527832,1,11,28.955,20.1827,20.7019,-1.5711,28.9121,-0.0543137,0.798096,-1,-11,17.5202,-12.5361,6.8722,10.1276,14.2961,0.659546,2.64014,1,11,9.324,-7.24779,0.781514,-5.81246,7.2898,-0.730591,3.03418,-1,50.6739,15.8749,93.7692
283359,29966850,20,-11,178.796,60.2258,23.0087,166.767,64.4713,1.67896,0.364929,1,11,116.66,44.9257,7.4741,107.402,45.5432,1.59326,0.164856,-1,-11,47.6561,-30.4393,-10.7117,35.0685,32.2691,0.941406,-2.80322,1,11,56.913,-36.8835,-13.406,41.2186,39.2442,0.916504,-2.79297,-1,80.5069,107.997,189.019
283830,141972509,75,11,46.2255,-44.4548,3.34871,-12.2212,44.5807,-0.270813,3.06641,-1,-11,13.6147,9.33412,-9.88324,0.74495,13.5943,0.0547714,-0.813965,1,-13,50.1921,-42.2533,22.9221,-14.4385,48.0704,-0.296021,2.64453,1,13,14.2878,-11.6775,7.4257,3.55331,13.8385,0.254028,2.5752,-1,46.6153,14.4794,80.3631
