Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281797,1888407497,1149,57.45362,0.61364746,-1.5310059,1,52.665462,1.3466797,0.881958,-1,110.755165
281797,1887729452,1149,50.867916,-1.6533203,0.48779297,-1,41.314507,-1.2487793,-2.5234375,1,93.37728
281797,1887299600,1149,44.478157,-0.5437012,-1.7072754,-1,44.473324,-0.6870117,1.5400391,1,89.056
281797,1886849822,1149,50.948437,0.2831421,1.6291504,1,39.72093,0.1734314,-1.3574219,-1,89.83721
281797,1887691298,1149,48.02972,0.54455566,-1.7453613,-1,45.864002,0.6828613,1.3649902,1,94.081856
281797,1887638149,1149,70.55198,-1.4060059,0.53430176,-1,31.734905,-1.5544434,-2.6918945,1,94.811554
281797,1886787846,1149,41.59021,0.5878906,1.4187012,1,40.064884,0.5344238,-1.9511719,-1,81.138985
281797,1888061549,1149,46.77795,1.0026855,2.6420898,-1,41.459225,0.54345703,-0.12756348,1,88.92995
281797,1886758630,1149,46.428577,1.6096191,-0.76867676,1,35.85314,2.3706055,2.2026367,-1,87.30223
281797,1887064470,1149,48.816036,-0.5925293,-2.0878906,-1,47.71851,-0.50390625,0.96154785,1,96.52074
281797,1886746779,1149,52.08049,-1.425293,0.973999,1,40.148518,-1.2695312,-1.796875,-1,90.16963
281797,1888304585,1149,48.556656,1.0866699,-1.2431641,1,39.22868,1.0273438,1.9863281,-1,87.242485
281797,1887525528,1149,38.28185,2.3779297,-1.5495605,-1,31.401918,0.9094238,1.6306152,1,88.88076
281797,1887849652,1149,115.45299,1.3295898,2.0708008,1,47.256092,1.3085938,0.2699585,-1,115.76816
281797,1886973313,1149,54.77054,-1.3652344,-1.791748,-1,35.969364,-1.7617188,0.96765137,1,88.93662
281797,1887329538,1149,45.457268,-0.4524536,-1.4736328,1,44.95962,-0.9962158,1.5537109,-1,93.635704
281797,1887886952,1149,37.25169,2.199707,-0.6739502,-1,35.895176,0.23339844,1.8190918,1,108.95625
281797,1888487890,1149,59.76746,-0.48272705,-2.2382812,1,37.71338,0.06613159,1.0458984,-1,98.31896
