Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
278874,187933819,92,-11,76.359,-1.91604,-49.6411,57.9895,49.6781,0.994873,-1.60938,1,11,23.8703,23.5729,-0.574635,-3.71175,23.5799,-0.156769,-0.0243721,-1,-13,63.2125,-51.4052,36.7829,0.571357,63.2098,0.00903893,2.52051,1,13,35.9687,14.9359,-23.7558,22.5014,28.061,0.734131,-1.00952,-1,88.345,64.1029,179.385
278962,179200645,159,11,63.7054,-13.517,-0.178092,62.2547,13.5181,2.23193,-3.12842,-1,-11,47.8976,8.14426,6.97206,46.6823,10.7209,2.17725,0.708008,1,13,182.064,29.7568,27.1036,177.559,40.2501,2.18994,0.73877,-1,-13,112.796,-6.7819,-27.7432,109.121,28.5601,2.05029,-1.81055,1,65.0315,22.6482,91.3901
279071,92907807,121,-11,88.9063,75.4372,40.794,23.4395,85.7608,0.27002,0.495728,1,11,40.5134,-24.6056,31.6615,5.78353,40.0984,0.143738,2.23145,-1,-13,161.156,-20.7924,-81.6775,137.36,84.2825,1.26465,-1.82007,1,13,49.0031,-25.3177,19.8341,36.9718,32.1617,0.983276,2.47705,-1,89.7876,88.4568,271.559
279116,682944364,382,-11,91.483,-33.6537,-30.3531,79.4686,45.3198,1.32764,-2.40771,1,11,117.231,34.183,-4.81764,112.033,34.5208,1.89331,-0.140015,-1,-13,69.5075,-49.3177,41.268,26.3817,64.3062,0.399536,2.44482,1,13,70.2223,-19.2931,28.6726,-61.1295,34.5592,-1.33521,2.16309,-1,93.3696,75.1755,301.657
279116,698462557,391,-13,106.295,31.6673,-85.6876,-54.3459,91.3519,-0.564453,-1.2168,1,-13,65.7907,-23.8197,55.7454,-25.5632,60.6212,-0.410095,1.97461,1,13,32.9348,13.6944,18.715,23.386,23.1902,0.887329,0.939087,-1,13,18.9141,-8.05492,15.3991,-7.46434,17.3786,-0.417297,2.05273,-1,79.7423,63.9931,214.133
279479,42938076,93,11,58.6191,28.195,-49.1028,15.1712,56.6219,0.264832,-1.04956,-1,-11,61.7136,35.3698,39.1867,31.9679,52.7884,0.573608,0.836548,1,13,88.1441,33.8948,-38.6102,71.6224,51.3771,1.13452,-0.850342,-1,-13,123.067,-8.72965,31.0962,118.754,32.2983,2.01318,1.84448,1,90.1058,87.6217,212.912
279667,812208114,507,11,92.0813,40.7572,82.3732,5.69861,91.9048,0.0619659,1.11133,-1,-11,62.0697,-44.6107,41.8441,-10.5644,61.1641,-0.171875,2.38818,1,13,119.762,-12.5463,-117.687,-18.3086,118.354,-0.154083,-1.677,-1,-13,28.1119,13.5531,0.525132,24.6232,13.5633,1.35791,0.0387268,1,91.0718,89.9933,301.925
279685,124331542,68,13,148.428,65.7291,-43.3353,-125.827,78.7291,-1.24805,-0.582886,-1,13,94.9626,54.1085,-50.9031,-59.1525,74.289,-0.729736,-0.754883,-1,-13,40.0888,-33.8642,-7.28537,-20.1801,34.639,-0.553833,-2.92969,1,-13,155.427,-17.0446,-25.2511,-152.412,30.4653,-2.31299,-2.16455,1,90.2744,88.5231,209.661
279716,199571182,104,11,102.817,-10.6817,90.3493,47.8974,90.9785,0.504761,1.68848,-1,-11,18.5696,-6.33548,-5.10967,16.6908,8.13923,1.46606,-2.46289,1,-13,133.36,41.0103,-61.4173,111.044,73.8507,1.19678,-0.982056,1,13,66.4586,-33.6225,-0.492252,57.3238,33.6261,1.30322,-3.12695,-1,87.7047,54.8416,219.697
279841,1027130960,622,-11,64.7142,-2.54077,21.8103,60.8752,21.9578,1.7439,1.68677,1,11,25.6263,-1.16932,-9.0901,-23.9314,9.165,-1.68774,-1.69873,-1,-13,105.28,50.6305,11.9043,91.5356,52.0112,1.33081,0.230927,1,13,114.866,-34.0079,-17.5772,108.299,38.2818,1.76294,-2.66455,-1,90.6753,81.3695,200.304
