Run,Event,Lumi,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,mH
281726,393201805,208,-11,124.913,114.691,-40.8578,-27.9239,121.752,-0.227386,-0.342224,1,11,93.1257,51.4692,14.5912,-76.2261,53.4975,-1.15234,0.276245,-1,13,120.107,-103.605,17.5669,-58.1659,105.083,-0.528564,2.97363,-1,-13,29.7292,10.4242,-20.7107,-18.6069,23.1861,-0.734619,-1.10449,1,91.6205,88.6819,310.496
282735,409806624,201,-13,266.631,-80.3968,121.521,-223.296,145.709,-1.21265,2.15527,1,-13,200.019,67.3366,-115.955,-148.418,134.088,-0.954956,-1.04468,1,13,18.743,-15.2132,-10.5523,2.91499,18.5146,0.156799,-2.53516,-1,13,16.0275,-14.7996,1.23118,6.02693,14.8507,0.395447,3.05859,-1,92.5177,89.2459,343.438
282814,770288126,397,11,77.0596,-38.7561,-32.0142,-58.4058,50.2687,-0.991333,-2.45117,-1,-11,31.0229,19.1337,23.9262,4.884,30.636,0.158752,0.89624,1,-13,55.1241,25.18,48.9219,3.35656,55.0217,0.0609665,1.09546,1,13,38.4515,-10.849,-36.8415,-1.8725,38.4057,-0.0487366,-1.85718,-1,91.4701,91.6671,194.715
282842,63160080,34,11,48.7352,8.35789,47.4613,-7.25855,48.1916,-0.150055,1.39648,-1,-11,54.7722,16.9736,-36.4519,-37.1908,40.21,-0.827271,-1.13501,1,13,75.6211,-44.0744,-2.21811,61.409,44.1302,1.13306,-3.09131,-1,-13,38.2039,-9.0858,13.5172,-34.5581,16.287,-1.49683,2.1626,1,89.3037,96.3405,213.662
282923,94663375,49,11,80.4637,-24.1959,49.63,58.5306,55.214,0.923218,2.02441,-1,-11,86.5384,-15.5609,-44.4945,72.5741,47.137,1.21655,-1.90723,1,13,141.706,66.5073,-9.8748,124.739,67.2364,1.37695,-0.1474,-1,-13,61.4403,-30.1464,-5.91785,53.2078,30.7218,1.31689,-2.94775,1,89.6203,95.3641,203.401
282923,207647879,103,11,96.4954,-40.1844,73.1313,-48.4601,83.4444,-0.552246,2.07324,-1,-11,75.5054,36.3586,24.1116,-61.626,43.627,-1.14526,0.585571,1,-13,148.674,-3.6269,-101.004,-109.037,101.069,-0.936035,-1.60669,1,13,21.1083,11.6865,-4.58446,16.9693,12.5535,1.10962,-0.37384,-1,89.4121,95.5813,275.431
283052,124332542,75,-11,96.739,7.21168,-65.6749,-70.6628,66.0697,-0.929687,-1.46143,1,11,70.4484,50.7945,9.73195,-47.835,51.7184,-0.827271,0.189301,-1,13,96.4369,-67.0975,-8.9969,68.6808,67.698,0.891602,-3.0083,-1,-13,27.0087,6.85422,8.19316,24.8063,10.6821,1.5791,0.874146,1,86.1137,53.564,283.931
283308,1176960231,613,11,128.129,5.31604,-96.2574,84.3995,96.4041,0.790527,-1.51562,-1,-11,39.2248,-8.50017,19.3545,33.0415,21.1388,1.22925,1.98462,1,-13,402.643,47.2398,55.7312,395.959,73.0586,2.3916,0.867676,1,13,105.612,-21.5914,-14.0279,102.425,25.7482,2.08936,-2.56543,-1,91.0533,86.8274,274.704
283408,20242405,12,-13,24.7094,-17.2162,13.9268,-10.963,22.144,-0.476807,2.46143,1,13,56.1709,14.3402,-5.5167,54.0286,15.3648,1.97021,-0.367249,-1,-13,17.546,-7.89747,-7.23562,13.8971,10.7109,1.0769,-2.3999,1,13,9.39778,7.93621,-4.62428,-1.98486,9.18517,-0.214447,-0.527588,-1,67.8822,21.0573,92.6474
283408,24538444,14,-11,173.987,17.1342,-44.1611,167.414,47.3686,1.9751,-1.20068,1,11,28.6944,-11.972,21.4392,14.8459,24.5554,0.572754,2.08008,-1,13,51.7686,-44.4736,25.6089,-6.8012,51.3198,-0.132141,2.61914,-1,-13,53.819,38.5073,14.1538,-34.8329,41.0261,-0.770508,0.352234,1,88.3101,85.5447,273.793
