Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281693,162061142,85,51.352802,-1.9470215,1.0874023,-1,33.774773,-1.0649414,-1.987793,1,91.48465
281693,163816059,85,52.730564,-1.7651367,-2.9594727,-1,39.501743,-1.6081543,0.43103027,1,90.856346
281693,162810391,85,38.71325,0.12765503,1.5754395,-1,34.40074,1.6191406,-2.2016602,1,91.43976
281693,163583606,85,41.187912,1.2307129,1.3674316,1,32.408955,-0.12445068,-1.9255371,-1,90.328705
281693,162656210,85,53.517597,-0.2069397,-1.411377,-1,45.890316,-0.5386963,2.0927734,1,98.88019
281693,163684755,85,37.99979,1.6206055,-1.4245605,-1,34.194363,0.8388672,1.7241211,1,77.6713
281693,162846732,85,55.24648,-1.3720703,0.28656006,1,50.931953,-1.8950195,2.1381836,-1,89.30062
281693,162912868,85,37.6322,0.044578552,-0.23648071,-1,33.945015,1.3972168,2.8173828,1,88.407875
281693,162288860,85,47.188797,-1.2145996,-1.1647949,-1,46.125484,-0.7327881,2.0708008,1,95.929054
281693,162770660,85,46.859226,1.0581055,2.8203125,1,36.238213,2.3134766,-1.3190918,-1,91.01655
281693,162090877,85,44.15295,-1.8950195,-0.30059814,-1,39.224167,-0.9572754,2.508789,1,91.52047
281693,163441728,85,44.138027,-0.21066284,1.2045898,1,31.482826,-1.2983398,-1.5727539,-1,84.78566
281693,163406688,85,44.768124,-0.5616455,-0.03439331,-1,41.6724,0.12921143,3.1010742,1,91.590164
281693,162930148,85,51.08348,1.5375977,2.4277344,-1,37.064793,2.1108398,-1.1489258,1,88.658226
281693,163215201,85,49.797234,-1.0961914,-1.7275391,1,35.375534,-1.5473633,1.4692383,-1,86.056984
281693,162187950,85,51.912754,-1.4516602,-2.3476562,-1,39.055058,-1.767334,0.31610107,1,88.65331
281693,162553131,85,41.65805,0.47332764,1.6625977,1,39.574654,0.92419434,-1.4355469,-1,83.259766
281693,162825862,85,39.404522,1.9370117,-2.1601562,-1,32.19367,0.37469482,0.7663574,1,93.785194
281693,162620739,85,42.448647,1.5808105,2.3896484,-1,35.46245,1.8283691,-0.8117676,1,78.15804
281693,162819299,85,51.003857,0.40734863,-0.97717285,-1,38.892094,-0.3480835,2.0610352,1,95.39572
281693,163654809,85,43.712933,0.66674805,0.083847046,1,37.706203,1.5959473,3.105957,-1,89.98911
281693,163151400,85,38.61847,1.8867188,2.1279297,-1,36.11533,1.6711426,-0.97753906,1,75.114365
281693,163469099,85,39.15802,-0.3456421,1.4760742,-1,35.7322,-0.02260971,-1.6723633,1,75.78964
281693,163538292,85,53.406937,0.17510986,-1.1291504,-1,37.381985,-0.2246399,2.194336,1,90.79267
281693,163049486,85,45.421898,-0.4498291,-1.2163086,1,44.035023,-0.53100586,1.6687012,-1,88.78566
281693,163799343,85,41.061474,-1.1655273,-2.625,1,39.883183,-0.7092285,0.586792,-1,83.0034
281693,162627491,85,45.74616,1.5373535,1.8493652,1,42.511387,2.1435547,-1.2800293,-1,92.27943
281693,162774661,85,65.12087,-0.4477539,-0.36273193,1,39.308872,-0.288208,-2.5649414,-1,90.59285
281693,162004367,85,55.894413,1.3474121,-1.9267578,1,40.224445,1.5046387,1.088623,-1,94.93822
281693,162591865,85,37.301895,-0.65283203,-3.1411133,-1,31.103872,1.0058594,-0.79589844,1,89.09372
281693,163416651,85,44.94104,1.7236328,3.0170898,1,40.23557,1.0393066,-0.028633118,-1,89.98169
281693,162975149,85,55.376675,-0.3637085,1.5925293,-1,36.394436,-0.65319824,-1.986084,1,88.616646
281693,163694638,85,57.386677,1.2568359,-0.59143066,1,34.72217,0.1217041,1.4099121,-1,92.21623
281693,162635506,85,49.683983,-0.54455566,-1.5842285,-1,40.13538,-0.71313477,1.5517578,1,89.62772
281693,163628895,85,47.079716,1.7819824,2.7045898,1,44.802048,2.0644531,0.066848755,-1,89.901596
281693,163709483,85,44.550854,0.59887695,2.184082,1,43.91923,0.22366333,-0.9180908,-1,90.01264
281693,162653692,85,49.425117,-1.3356934,0.6850586,1,48.865932,-1.3676758,-2.6542969,-1,97.82221
281693,163783151,85,49.75951,1.8117676,0.88513184,1,48.453747,1.2678223,-2.3759766,-1,101.6904
281693,163786114,85,65.91515,-0.056915283,1.420166,1,41.297237,-0.39752197,-2.909668,-1,88.2917
281693,163477683,85,32.284187,-0.9538574,0.682251,1,32.124405,-0.95861816,-2.588379,-1,64.27492
281693,162935709,85,46.847446,1.9108887,-0.9785156,1,38.73634,1.1047363,1.8205566,-1,91.06385
281693,163606722,85,45.9289,-1.9360352,2.9423828,-1,40.747105,-1.442627,-0.6878662,1,86.67637
281693,163388890,85,54.162525,-0.3081665,2.8203125,1,38.54696,0.24127197,-0.10244751,-1,94.328964
281693,163456054,85,43.669735,2.2998047,2.2294922,1,43.18658,1.7138672,-0.8499756,-1,90.56951
281693,162829803,85,49.031178,-0.22573853,2.0498047,1,37.640633,0.60302734,-1.7487793,-1,89.195305
281693,163398928,85,58.998936,-1.5966797,-0.4890747,-1,38.527996,-2.0737305,2.8330078,1,97.70271
281693,163393140,85,47.30934,0.8626709,-1.8010254,1,35.31698,1.8024902,1.3190918,-1,90.94067
281693,163282761,85,33.440754,-1.9370117,0.8487549,-1,31.814114,-0.20083618,-2.4208984,1,91.30205
281693,163147856,85,53.7776,0.99108887,-2.522461,-1,37.251587,0.67858887,0.47387695,1,90.378624
281693,163068025,85,49.39246,-2.0371094,1.2453613,-1,38.58471,-2.3847656,-2.0756836,1,88.28788
281693,162149983,85,59.686535,-0.0980072,-1.1533203,-1,30.838411,-1.9428711,-0.8132324,1,92.01457
281693,163177395,85,38.70175,1.7321777,-2.8305664,-1,30.190233,1.0273438,-0.1595459,1,70.88441
281693,162841718,85,55.185585,0.484375,2.8251953,1,43.982006,-0.1348877,-1.3945312,-1,90.06266
281693,163068449,85,43.232166,0.13546753,-0.22097778,1,37.446247,1.1503906,2.9384766,-1,91.05365
281693,163237813,85,38.299503,-0.586792,-0.5423584,1,31.695791,0.9654541,2.3847656,-1,91.44198
281693,163806629,85,47.823856,0.95092773,0.92407227,-1,41.43764,1.4589844,-2.4238281,1,91.46285
281693,163649897,85,39.108643,0.3366089,2.4990234,-1,30.688984,-0.27386475,-0.52368164,1,72.42426
281693,163336291,85,43.17038,-1.4921875,-3.0483398,1,39.352753,-2.3588867,0.06716919,-1,90.29072
281693,163876370,85,47.42004,-0.04084778,0.8013916,-1,47.081684,0.13116455,-2.272461,1,94.79707
281693,162276239,85,55.596462,-1.5766602,3.074707,1,42.808834,-1.9030762,-0.67578125,-1,94.44836
281693,162808166,85,43.318886,-1.262207,-2.9067383,-1,41.84875,-2.1308594,0.46832275,1,92.78539
281693,163876765,85,37.199673,1.4226074,1.4648438,-1,33.075665,0.008703232,-1.5471191,1,88.311005
281693,163472638,85,47.90365,0.8984375,1.0637207,1,44.65553,1.0632324,-1.9440918,-1,92.610435
281693,163027312,85,34.93963,-1.9375,0.6534424,-1,31.599764,-0.2929077,-2.3686523,1,90.131065
281693,162164305,85,57.500183,0.72351074,3.0756836,-1,43.759148,1.3068848,-1.1386719,1,91.19851
281693,162394984,85,57.61616,-0.14511108,-1.2893066,-1,37.615913,-0.21258545,1.5541992,1,92.129814
281693,162242561,85,48.669044,-0.30133057,-0.88342285,1,37.301773,0.45880127,2.4770508,-1,90.97052
281693,163558736,85,38.949795,0.47265625,-1.0195312,-1,34.981533,-0.4977417,2.5039062,1,81.49127
281693,162390155,85,38.185905,-0.3632202,-0.1298523,-1,30.897299,-2.0239258,-3.0986328,1,93.58581
281693,163644879,85,42.366955,-0.03276062,-2.828125,-1,32.729565,1.2724609,-0.37554932,1,87.35728
281693,162493489,85,45.387394,0.6468506,0.1621399,-1,37.973454,-0.41912842,-2.9013672,1,95.05092
281693,163379110,85,43.81021,-2.3671875,0.3527832,-1,40.946407,-2.2573242,-2.6118164,1,84.50582
281693,162559170,85,45.73974,0.5579834,-1.1955566,-1,44.361122,-0.5209961,2.2202148,1,102.78725
