Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281797,1179381630,777,24.459005,1.1188965,-2.4848633,-1,24.996565,1.1796875,-2.3618164,1,3.3919568
281797,2874023795,1694,16.873878,2.230957,-2.2768555,1,9.1594925,1.939209,-2.1542969,-1,3.945676
281797,2874000972,1694,54.237007,0.8322754,-1.8337402,1,38.436333,0.9058838,-1.7878418,-1,3.961238
281797,3143164734,1865,54.66994,0.2965088,0.38464355,1,26.209173,0.36029053,0.46240234,-1,3.80654
281797,3201389413,1904,101.06109,2.2109375,1.6374512,-1,13.504309,2.1054688,1.6489258,1,3.9330332
281797,3200676963,1904,49.064045,-0.68066406,-1.0083008,1,45.0238,-0.75476074,-0.986084,-1,3.6364312
281797,3249530184,1938,59.39062,2.1166992,-1.2473145,1,8.264437,2.1757812,-1.1062012,-1,3.3877075
281797,3249712973,1938,41.32248,0.48272705,2.3051758,1,40.47962,0.5397949,2.3637695,-1,3.345502
281797,2439864004,1441,41.502136,1.2988281,-1.1357422,1,7.4027042,1.307373,-1.3640137,-1,3.995603
281797,2438887364,1441,40.454372,1.3371582,0.25665283,-1,33.811306,1.3061523,0.34088135,1,3.3189795
281797,3022814109,1787,44.380466,-0.12710571,-2.3583984,1,36.20736,-0.1786499,-2.2944336,-1,3.2931333
281797,3022196107,1787,26.114798,2.0249023,-1.0708008,1,12.630324,2.190918,-0.9316406,-1,3.9355154
281797,3053531709,1807,38.30748,1.2253418,2.1948242,-1,19.20863,1.1291504,2.2353516,1,2.8322225
281797,3053330481,1807,39.012123,0.9580078,2.190918,1,33.19538,0.88391113,2.225586,-1,2.9443073
281797,3053737340,1807,44.833874,2.3085938,2.3173828,-1,11.906097,2.1796875,2.3945312,1,3.4764836
281797,3059562623,1811,35.566174,-1.848877,-1.4741211,-1,32.161427,-1.7451172,-1.4306641,1,3.8068607
281797,3060409702,1811,205.6278,0.75683594,0.5227051,1,45.753,0.7248535,0.5184326,-1,3.129996
281797,3211515117,1911,44.593903,2.234375,2.480957,-1,5.402403,2.456543,2.493164,1,3.4573293
281976,67713157,32,49.06731,-0.80114746,1.8364258,-1,34.481773,-0.74609375,1.7849121,1,3.101474
281976,68310876,32,33.862827,1.0561523,0.6567383,-1,22.538948,1.1638184,0.6378174,1,3.0215695
281976,70655963,33,39.049385,-1.1330566,2.1386719,1,26.451155,-1.1889648,2.2114258,-1,2.9487815
281976,74071817,35,55.70828,-2.4555664,-0.92492676,1,7.7938576,-2.309082,-0.8220215,-1,3.7416575
281976,72979282,35,52.104675,1.390625,2.262207,1,46.228416,1.3352051,2.3198242,-1,3.9235866
281976,74509264,35,22.867834,2.2353516,-2.6875,1,16.679012,2.0463867,-2.7509766,-1,3.898868
281976,76530337,37,43.365932,2.2944336,2.1499023,-1,17.3014,2.40625,2.1855469,1,3.2149553
281976,116357135,59,55.984367,-0.2763672,3.1386719,1,37.303635,-0.3413086,3.0800781,-1,3.9971914
281976,126422349,65,72.21853,-0.65075684,2.571289,1,31.62289,-0.7161865,2.5625,-1,3.1560953
281976,127220121,65,54.827213,0.90405273,-2.8740234,1,48.48575,0.866333,-2.8105469,-1,3.8068607
281976,131519832,68,42.269604,0.6221924,2.8017578,-1,29.765318,0.5404053,2.8217773,1,2.987441
281976,131231128,68,77.05334,-0.88586426,-0.89416504,1,55.79586,-0.8363037,-0.9095459,-1,3.4026644
281976,133601810,69,27.847557,2.3950195,1.9956055,-1,7.2998505,2.440918,2.2695312,1,3.9469132
281976,132459930,69,15.250394,-0.05015564,-2.7075195,-1,6.0028386,0.2268982,-2.8422852,1,2.9550104
281976,178438950,95,40.812683,1.1616211,0.08805847,1,39.527355,1.1916504,0.15603638,-1,2.9846613
281976,178810098,95,37.251427,0.89294434,2.9853516,1,8.556456,1.0490723,2.9326172,-1,2.944722
281976,2215959697,1228,102.50741,-1.0769043,2.7680664,-1,36.67917,-1.130127,2.760254,1,3.3006866
281976,210688508,114,5.8092585,1.9614258,-0.04233551,1,5.6902533,1.7441406,-0.50878906,-1,2.9376454
281976,259351316,144,83.50633,1.369873,-2.8979492,1,34.725056,1.3110352,-2.8598633,-1,3.7738824
281976,259602985,144,19.57922,0.0008649826,2.0644531,-1,8.713223,-0.23153687,2.010254,1,3.123603
281976,348639757,202,27.415648,2.0957031,-0.5078125,-1,12.696468,1.9428711,-0.55114746,1,2.9679275
281976,349208944,202,22.716366,1.1425781,0.76123047,-1,14.673424,0.99768066,0.81811523,1,2.8440933
281976,552712514,318,47.905224,2.3632812,-1.7619629,1,5.95127,2.4399414,-1.9431152,-1,3.3154469
281976,604636929,344,12.354913,0.88171387,-1.1132812,-1,9.379749,0.7423096,-1.3569336,1,3.016819
281976,607942869,346,6.1106067,-2.0771484,0.48468018,-1,8.727993,-1.854248,0.88549805,1,3.333842
281976,607054333,346,34.63235,-0.2130127,0.4118042,1,15.750105,-0.100753784,0.36090088,-1,2.8800058
281976,643259105,365,22.861073,1.9772949,-0.6984863,1,8.1135435,1.7399902,-0.54211426,-1,3.875252
281976,644807945,365,33.158813,-0.31799316,-1.9897461,1,6.128184,-0.38153076,-2.1796875,-1,2.8512735
281976,683332537,386,35.908257,-0.5123291,0.24145508,1,26.433138,-0.6016846,0.29718018,-1,3.2450383
281976,683440830,386,77.16893,-1.3823242,-1.8303223,-1,37.771393,-1.4367676,-1.8044434,1,3.2554042
281976,684153903,387,28.332912,-0.34155273,-0.47912598,1,15.875836,-0.21725464,-0.59228516,-1,3.5654113
281976,684018084,387,21.41679,-0.86572266,1.0644531,1,9.720207,-0.88549805,0.79504395,-1,3.8858216
281976,693282911,392,58.375435,-0.52734375,0.064697266,1,33.58252,-0.54333496,0.1418457,-1,3.4878416
281976,719296728,406,37.306343,-0.41955566,-2.4472656,-1,18.216885,-0.315979,-2.512207,1,3.187883
281976,719049690,406,27.844252,0.59228516,3.112793,-1,26.962994,0.51708984,-3.0898438,1,3.0191042
281976,719103323,406,66.665215,2.3076172,-0.49957275,-1,45.05861,2.3735352,-0.50219727,1,3.6185286
281976,1382454827,781,19.08128,1.2851562,1.7495117,-1,16.435894,1.2016602,1.6130371,1,2.8318777
281976,1384379136,782,41.920555,1.578125,-1.0703125,1,27.716387,1.671875,-1.0732422,-1,3.197289
281976,1396706738,789,50.920467,0.88012695,-1.9543457,1,31.859684,0.80529785,-1.9428711,-1,3.0501986
281976,1400842886,791,38.160164,-0.98950195,-0.53930664,-1,30.577236,-0.97595215,-0.6326904,1,3.2223887
281976,1401164892,791,64.45625,-2.1572266,1.1755371,-1,39.146355,-2.197754,1.1103516,1,3.8568122
281976,1444005537,814,63.234997,1.9724121,-2.0317383,-1,25.097498,1.8786621,-2.0273438,1,3.7395687
281976,1443456355,814,73.55962,-1.1687012,1.4765625,-1,30.062765,-1.1313477,1.4165039,1,3.3272078
281976,1443662404,814,43.116257,-0.22241211,1.0974121,-1,25.452938,-0.29943848,1.1342773,1,2.829549
281976,1445592786,815,50.413292,-2.25,-0.64575195,-1,9.605408,-2.3808594,-0.62890625,1,2.9047375
281976,1452740079,819,43.384212,-0.28967285,-1.8513184,-1,33.20353,-0.3812256,-1.8349609,1,3.5311809
281976,1452602259,819,52.112934,-1.8425293,1.1733398,-1,28.336346,-1.8291016,1.0910645,1,3.2015622
