Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281707,64854496,133,28.256037,-0.43389893,0.008771896,-1,4.6685023,-0.6739502,-0.11553955,1,3.1238475
281707,63572628,133,34.85808,0.54248047,2.815918,1,14.785052,0.6291504,2.9199219,-1,3.0815337
281707,64399390,133,35.965717,-1.8708496,3.0610352,-1,5.29898,-1.9038086,2.8393555,1,3.103992
281707,64198753,133,38.70165,-1.0131836,-1.4033203,1,7.2139134,-1.0583496,-1.5839844,-1,3.1210914
281707,63965595,133,26.27091,-1.3591309,-0.46862793,1,7.812154,-1.2956543,-0.26812744,-1,3.018983
281707,64232596,133,25.88416,1.3642578,2.9077148,-1,4.533614,1.1821289,2.6958008,1,3.0416622
281707,64148493,133,35.71731,0.62805176,2.746582,-1,9.792354,0.5123291,2.8642578,1,3.0976143
281707,64541084,133,25.40362,1.2385254,-1.5456543,-1,6.026557,1.2038574,-1.7963867,1,3.1355681
281707,64592758,133,9.56427,1.5812988,-1.7849121,-1,6.4031324,1.4577637,-2.1645508,1,3.1152387
281707,63808552,133,29.277689,-1.3684082,0.585083,1,20.748388,-1.2751465,0.6669922,-1,3.066961
281707,63747254,133,33.915638,0.520874,-0.79541016,-1,5.198969,0.4537964,-1.0170898,1,3.0858486
281707,64397830,133,25.183212,0.5169678,1.8977051,-1,14.575529,0.35717773,1.9140625,1,3.0885966
281707,63913474,133,27.880415,-0.023021698,-3.116211,-1,12.542621,-0.1437378,-3.0024414,1,3.1105132
281707,63873763,133,13.824241,0.6621094,-1.7072754,1,4.664904,0.5653076,-2.0839844,-1,3.1159978
281707,64016845,133,25.619328,0.28668213,1.9216309,-1,5.392116,0.09089661,2.1000977,1,3.1273038
281707,63587076,133,35.231327,0.18411255,0.29882812,-1,4.850251,0.13778687,0.5317383,1,3.1145332
281707,64613658,133,33.848553,-0.5593262,1.5070801,-1,10.1631155,-0.6956787,1.6064453,1,3.1400418
281707,64391838,133,32.362762,-1.2062988,1.2028809,1,4.229249,-1.3525391,1.4228516,-1,3.1027331
281707,63526861,133,54.622845,-0.16790771,-1.3835449,1,11.2285385,-0.08039856,-1.473877,-1,3.127421
281707,64997807,133,28.234465,1.6635742,0.104019165,-1,3.3986568,1.8151855,0.38305664,1,3.1203873
281707,64748054,133,4.391872,0.5333252,2.8359375,1,4.1597123,0.61279297,2.1030273,-1,3.089004
281707,63934399,133,39.386852,-0.798584,-1.0319824,1,20.451147,-0.848999,-0.93408203,-1,3.1321013
281707,63560639,133,29.756481,0.18688965,0.32458496,-1,14.752284,0.043533325,0.29516602,1,3.0769746
281707,64190633,133,26.276773,1.0405273,-2.8027344,-1,3.777442,1.3376465,-2.8823242,1,3.088814
281707,64816436,133,31.699907,-0.897583,3.0410156,-1,7.1422157,-0.704834,3.1279297,1,3.1980906
281707,64097753,133,36.473186,1.5388184,1.3269043,1,8.446685,1.6450195,1.4660645,-1,3.0825238
281707,64662480,133,32.362938,0.11225891,1.3354492,-1,23.31403,0.12628174,1.2338867,1,2.8232002
281707,63874268,133,26.30819,-0.87438965,1.9609375,-1,10.386475,-0.8425293,1.7871094,1,2.9274678
281707,64774808,133,25.679575,2.211914,-2.5454102,-1,3.568643,1.9890137,-2.2998047,1,3.1930099
281707,63680976,133,32.62062,-0.46240234,-0.96032715,1,9.909351,-0.34179688,-0.828125,-1,3.2268178
281707,64551559,133,34.184456,-0.9135742,0.25054932,-1,5.9088163,-1.1015625,0.11402893,1,3.3164408
281707,63703588,133,45.64666,-0.52319336,-0.22891235,-1,6.9316297,-0.53686523,-0.4005127,1,3.0742362
281707,66320418,134,26.791662,1.887207,2.1191406,-1,4.628288,2.0439453,1.8879395,1,3.1189003
281707,66109481,134,39.329086,0.6951904,1.3422852,1,10.785173,0.578125,1.2456055,-1,3.1384087
281707,65488720,134,25.390759,-1.576416,-1.1816406,-1,7.3017545,-1.527832,-0.9604492,1,3.088063
281707,65938746,134,33.196156,0.4790039,0.22415161,-1,6.13754,0.5144043,0.00935173,1,3.1150622
281707,66473441,134,27.861012,-0.59191895,1.4077148,1,8.462038,-0.75476074,1.5234375,-1,3.078799
281707,66044625,134,10.543348,-1.0532227,-0.04170227,-1,7.0678797,-0.7192383,-0.15615845,1,3.0682743
281707,65130704,134,42.946465,-0.8153076,2.709961,-1,39.827065,-0.788208,2.6411133,1,3.0668018
281707,65442134,134,45.627735,1.3522949,-1.5593262,-1,12.748007,1.232666,-1.5043945,1,3.1878064
281707,65565352,134,27.080873,0.6612549,-0.8215332,-1,6.530774,0.67041016,-1.0537109,1,3.0946968
281707,65812689,134,35.346195,1.1655273,-2.5859375,-1,16.804474,1.1679688,-2.7114258,1,3.065528
281707,66356500,134,34.899605,0.59265137,-1.7939453,1,24.28538,0.6912842,-1.7592773,-1,3.0523589
281707,66113628,134,25.20148,-0.005221367,-1.0314941,-1,6.203653,-0.20077515,-0.91223145,1,2.8789673
281707,65520407,134,29.782707,1.6020508,2.9536133,-1,8.217551,1.4099121,2.921875,1,3.0634565
281707,66235809,134,39.25671,-1.7856445,0.5151367,1,4.0797043,-2.0185547,0.5977783,-1,3.1517603
281707,66270170,134,34.595325,0.7669678,0.20336914,-1,8.1583605,0.6295166,0.07426453,1,3.1804073
281707,66325855,134,26.88648,0.47784424,-0.21350098,-1,5.967436,0.7062988,-0.31933594,1,3.2055821
281707,65150746,134,27.872747,-1.4484863,0.9316406,1,13.248502,-1.3894043,1.1057129,-1,3.5362244
281707,66127785,134,33.464905,-0.501709,0.16616821,-1,7.899271,-0.6281738,0.04912567,1,2.8142357
281707,66147102,134,32.801025,-2.3110352,-1.4943848,-1,3.699985,-2.0483398,-1.404541,1,3.0923293
281707,66480689,134,31.491148,0.025230408,1.7084961,-1,16.976828,-0.015792847,1.5825195,1,3.0695074
281707,66377776,134,35.57865,0.79260254,0.2354126,1,10.354256,0.6369629,0.26330566,-1,3.0488775
281707,66307745,134,54.455296,1.2700195,2.8950195,-1,4.902535,1.2028809,3.055664,1,2.8688793
281707,66345683,134,32.158802,0.24588013,-1.5998535,1,8.250319,0.44274902,-1.6889648,-1,3.5338762
281707,65355802,134,26.586054,-0.108795166,1.8911133,1,7.7566667,-0.19851685,2.0854492,-1,3.0802855
281707,65724484,134,27.643976,-0.34606934,1.4064941,-1,7.5605354,-0.5202637,1.2827148,1,3.1015527
