Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
279823,48289787,88,35.943863,-1.6491699,2.4052734,-1,69.234924,-3.0009766,62.41706
279823,47813068,88,44.49427,-2.612793,-2.1479492,-1,20.551416,-0.074539185,57.747654
279823,47729925,88,49.7758,1.2956543,1.0754395,-1,60.26051,-0.6269531,89.81251
279823,47713358,88,35.2936,3.0317383,1.3024902,1,64.698814,-0.37628174,94.72426
279823,49145557,88,45.62993,-0.039718628,0.7207031,-1,61.173378,3.0698242,105.65264
279823,48103241,88,45.266212,-3.128418,1.6962891,-1,12.91932,0.52526855,46.788853
279823,48611780,88,33.843483,-1.3442383,-0.37219238,-1,90.34084,2.2514648,107.749985
279823,48643741,88,39.65274,2.868164,-0.6380615,1,24.694683,-1.3500977,53.732975
279823,49493478,88,67.38768,3.0610352,-2.0922852,1,60.771523,-0.18170166,127.82468
279823,47884631,88,38.745987,2.630371,-2.302246,-1,38.237034,-2.524414,41.165005
279823,49519820,88,52.253033,1.7561035,-1.1975098,1,53.55611,-0.57128906,97.1543
279823,47906984,88,98.958595,-1.3933105,1.9616699,1,38.492626,2.2319336,119.84532
279823,49511175,88,56.20353,2.3808594,-0.8919678,1,20.850605,-1.0839844,67.57309
279823,47904690,88,114.654,-1.831543,1.0559082,-1,19.344624,1.6855469,92.53478
279823,48896421,88,37.814304,2.9658203,2.1333008,1,28.834257,-0.82666016,62.574265
279823,49203651,88,45.67018,-2.1108398,2.1582031,-1,49.70514,-0.112197876,80.148735
279823,49597136,88,39.03777,-1.2285156,-0.8977051,-1,78.95458,1.6791992,110.277
279823,47726501,88,32.517567,-1.923584,0.87194824,1,92.69102,2.131836,98.53779
279823,48822159,88,41.458454,-2.8544922,-1.7182617,1,53.07313,0.49194336,93.323715
279823,48566875,88,48.41732,-0.80944824,0.82263184,-1,56.674744,2.3603516,104.75674
279823,47916804,88,29.319433,3.0429688,-2.0981445,-1,25.240011,0.0027661324,54.336823
279823,48622821,88,79.10446,1.8493652,2.244629,-1,13.242695,-1.0092773,64.08522
279823,48272613,88,36.370037,0.75927734,-1.0332031,-1,41.228687,-2.7675781,76.01401
279823,49072231,88,46.907665,-1.9968262,0.13729858,-1,18.61695,0.5361328,56.38689
279823,48891925,88,54.28785,1.7827148,2.1601562,1,24.511108,-2.4501953,62.361996
279823,49678144,88,45.67622,-1.2824707,-2.4174805,1,13.848515,2.5732422,47.12844
279823,49610555,88,36.98415,3.0820312,2.1899414,1,38.62486,-0.41601562,74.39381
279823,48251292,88,118.158714,-3.067871,-0.835083,1,20.036407,1.3383789,78.498215
279823,49199772,88,36.13405,-1.3569336,0.11735535,1,52.6057,1.2653809,84.27501
279823,49683824,88,55.04858,1.0349121,-1.1044922,1,54.29551,-1.9785156,109.117065
279823,48923089,88,42.539074,0.63183594,1.1035156,-1,45.00534,1.8964844,51.720066
279823,48513234,88,34.534172,-1.4265137,-1.5021973,-1,48.82272,1.7177734,82.12306
279823,49180661,88,36.34231,2.315918,0.5871582,-1,32.84196,0.0048542023,63.2232
279823,48371678,88,44.348087,1.3779297,-2.0517578,-1,57.156334,-1.347168,98.51758
279823,49392030,88,79.167595,1.8193359,-2.3359375,-1,75.556335,-1.7148438,151.7113
279823,48942168,88,88.22574,-2.197754,0.27374268,-1,40.714943,0.94384766,119.86836
279823,49343782,88,49.26654,-2.525879,-1.4443359,-1,86.347,-1.1147461,84.58947
279823,48016968,88,61.75609,0.25012207,2.0844727,-1,12.990087,1.8603516,40.837303
279823,49136385,88,35.687115,0.7751465,1.1181641,1,22.687542,-1.8017578,54.655495
279823,48368183,88,47.209854,2.6704102,1.1298828,1,57.774975,-0.0700531,102.358055
