Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281797,1180006485,777,38.51641,-0.56591797,0.4706421,1,19.462246,-0.7203369,0.7955322,-1,9.815411
281797,1179158743,777,22.011215,1.4975586,-1.4729004,-1,21.834814,1.9260254,-1.4863281,1,9.469678
281797,1179705414,777,22.479734,1.7038574,2.243164,-1,7.1741614,2.0097656,3.046875,1,10.672253
281797,1179019600,777,52.745296,-0.74487305,-2.4936523,-1,34.737217,-0.53125,-2.4018555,1,9.967917
281797,1179954987,777,78.12858,-2.2338867,-3.078125,1,42.342678,-2.180664,-2.9140625,-1,9.90896
281797,2874790752,1694,19.867981,0.12561035,-1.2207031,1,13.710006,-0.054512024,-0.6687012,-1,9.474911
281797,3129633570,1857,31.02562,0.08900452,-2.6557617,-1,26.98727,0.06602478,-3.0195312,1,10.489229
281797,3130286644,1857,17.53355,0.8885498,2.7246094,1,12.054243,1.0419922,-2.9248047,-1,9.331396
281797,3129595966,1857,8.051313,-0.79333496,-1.6291504,-1,7.6449394,-1.5712891,-2.8164062,1,10.779914
281797,3130787885,1857,31.425875,-0.38867188,0.5780029,-1,16.286331,-0.00061249733,0.37109375,1,9.994017
281797,3141873494,1865,27.915699,-0.67333984,-1.697998,-1,16.852482,-1.0974121,-1.7060547,1,9.268721
281797,3149943548,1870,21.408047,-1.432373,-2.385254,-1,20.091606,-1.166748,-2.7504883,1,9.341634
281797,3150622312,1870,16.75313,0.56018066,-0.8898926,-1,14.036418,1.0732422,-0.59155273,1,9.167622
281797,3149214793,1870,21.693388,-0.0467453,-0.6303711,-1,12.958898,-0.59265137,-0.56604004,1,9.329669
281797,3201381321,1904,83.77631,1.2453613,1.848877,-1,43.75304,1.1047363,1.9282227,1,9.781999
281797,3249461099,1938,83.328316,-1.7768555,0.9875488,1,7.6425176,-2.1611328,0.98205566,-1,9.7584095
281797,3517453051,2125,22.218216,1.8605957,-2.8251953,1,21.106266,1.4333496,-2.9545898,-1,9.734161
281797,3517141850,2125,18.90142,-1.0268555,-0.2602539,-1,15.035107,-1.4606934,-0.5864258,1,9.181466
281797,3517155596,2125,11.22665,-0.97229004,-0.9279785,1,7.4037647,-1.9645996,-0.96325684,-1,9.42815
281797,2439941409,1441,32.82203,1.3137207,2.7617188,1,14.1643,1.2607422,2.293457,-1,10.069582
281797,2982691269,1762,32.25583,-0.69763184,0.3250122,1,15.626724,-0.35009766,0.08721924,-1,9.479573
281797,2982699004,1762,33.290535,1.8469238,0.026351929,1,19.955027,1.5817871,-0.20098877,-1,9.009218
281797,2985922142,1764,16.94049,-0.193573,-0.87316895,1,12.713455,0.25115967,-0.37426758,-1,9.788183
