Run,Event,Lumi,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
281707,63708342,133,8.324517,-1.0634766,2.6621094,1,4.974439,-1.1914062,0.9123535,-1,9.913987
281707,63702501,133,12.706125,0.26135254,2.557129,1,12.628005,-0.25738525,1.9599609,-1,9.986816
281707,64424909,133,8.154484,0.31384277,0.06594849,-1,5.8516374,-0.93566895,-0.08229065,1,9.262976
281707,63740074,133,4.5718966,-0.77856445,1.2102051,1,4.230462,-1.279541,-1.901123,-1,9.074668
281707,64355617,133,10.3347025,0.6422119,-0.80578613,-1,5.6270704,0.41046143,-2.114746,1,9.454594
281707,64608283,133,13.703556,-2.3544922,-1.0480957,1,4.6699166,-1.6779785,0.039916992,-1,9.953824
281707,64171656,133,7.484828,0.6245117,1.1281738,-1,6.019407,-0.59643555,0.1748352,1,10.673153
281707,64442631,133,8.501457,0.3338623,-0.7261963,-1,6.8335385,0.8297119,-2.1762695,1,10.808367
281707,64758577,133,10.473164,-1.7502441,2.5341797,-1,5.3281665,-0.63720703,1.7600098,1,10.4142065
281707,64269769,133,7.236666,0.79248047,2.3813477,1,6.1330123,1.2614746,-2.4594727,-1,9.347928
281707,63599331,133,12.625091,1.692627,-3.131836,-1,3.8632092,1.1870117,1.8310547,1,9.283545
281707,63733907,133,13.7849865,0.097076416,-0.45422363,-1,5.0158443,-0.3988037,0.7541504,1,10.327985
281707,64976546,133,25.809412,1.8859863,0.90441895,-1,20.62995,1.5202637,1.0888672,1,9.493728
281707,64793283,133,7.1584897,-1.217041,-0.6900635,1,4.4212074,-1.9487305,1.1328125,-1,9.840965
281707,64525377,133,15.759665,0.7199707,2.3051758,-1,8.405612,0.96520996,1.4616699,1,9.84118
281707,63830854,133,6.2170563,1.6577148,-0.9111328,1,5.2859483,1.5012207,-2.8779297,-1,9.588055
281707,64659694,133,8.3229475,-0.6257324,-1.9040527,-1,5.8824573,0.7003174,-2.0131836,1,10.004851
281707,64408428,133,8.888697,-0.023162842,1.3789062,1,8.052698,-0.1665039,2.6313477,-1,9.993273
281707,64370032,133,9.520013,-0.5797119,0.091308594,-1,3.9240537,0.9276123,0.44891357,1,10.343616
281707,64775088,133,14.13259,-1.9904785,-1.3110352,-1,4.8000913,-1.605957,-2.4526367,1,9.45727
281707,64855569,133,8.177673,0.4389038,0.9764404,-1,6.08317,0.17703247,-0.46466064,1,9.492211
281707,63592143,133,10.990672,1.0715332,0.65527344,-1,4.6561084,0.7784424,2.0283203,1,9.312703
281707,64591125,133,7.8663683,0.9042969,-0.34020996,1,3.6581044,1.3134766,-2.78125,-1,10.319015
