Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
279823,48289787,88,35.943863,-1.6491699,2.4052734,-1,69.234924,-3.0009766,62.41706
279823,47813068,88,44.49427,-2.612793,-2.1479492,-1,20.551416,-0.074539185,57.747654
279823,47729925,88,49.7758,1.2956543,1.0754395,-1,60.26051,-0.6269531,89.81251
279823,49145557,88,45.62993,-0.039718628,0.7207031,-1,61.173378,3.0698242,105.65264
279823,48103241,88,45.266212,-3.128418,1.6962891,-1,12.91932,0.52526855,46.788853
279823,48611780,88,33.843483,-1.3442383,-0.37219238,-1,90.34084,2.2514648,107.749985
279823,47884631,88,38.745987,2.630371,-2.302246,-1,38.237034,-2.524414,41.165005
279823,47904690,88,114.654,-1.831543,1.0559082,-1,19.344624,1.6855469,92.53478
279823,49203651,88,45.67018,-2.1108398,2.1582031,-1,49.70514,-0.112197876,80.148735
279823,49597136,88,39.03777,-1.2285156,-0.8977051,-1,78.95458,1.6791992,110.277
279823,48566875,88,48.41732,-0.80944824,0.82263184,-1,56.674744,2.3603516,104.75674
279823,47916804,88,29.319433,3.0429688,-2.0981445,-1,25.240011,0.0027661324,54.336823
279823,48622821,88,79.10446,1.8493652,2.244629,-1,13.242695,-1.0092773,64.08522
279823,48272613,88,36.370037,0.75927734,-1.0332031,-1,41.228687,-2.7675781,76.01401
279823,49072231,88,46.907665,-1.9968262,0.13729858,-1,18.61695,0.5361328,56.38689
279823,48923089,88,42.539074,0.63183594,1.1035156,-1,45.00534,1.8964844,51.720066
279823,48513234,88,34.534172,-1.4265137,-1.5021973,-1,48.82272,1.7177734,82.12306
279823,49180661,88,36.34231,2.315918,0.5871582,-1,32.84196,0.0048542023,63.2232
279823,48371678,88,44.348087,1.3779297,-2.0517578,-1,57.156334,-1.347168,98.51758
279823,49392030,88,79.167595,1.8193359,-2.3359375,-1,75.556335,-1.7148438,151.7113
279823,48942168,88,88.22574,-2.197754,0.27374268,-1,40.714943,0.94384766,119.86836
279823,49343782,88,49.26654,-2.525879,-1.4443359,-1,86.347,-1.1147461,84.58947
279823,48016968,88,61.75609,0.25012207,2.0844727,-1,12.990087,1.8603516,40.837303
279823,48356833,88,46.81417,-0.03199768,-1.3828125,-1,44.626392,2.0078125,77.89039
279823,48373558,88,69.21825,-2.7792969,2.0195312,-1,46.01651,1.1303711,104.65297
279823,49202905,88,39.999744,2.5561523,-1.1074219,-1,45.008522,-0.9699707,83.29693
279823,49404699,88,29.268055,1.4631348,2.0249023,-1,54.573086,0.3173828,43.32678
279823,47965103,88,30.369108,0.6459961,1.9243164,-1,52.708782,-2.1064453,78.50801
279823,49422241,88,43.357773,0.29553223,0.8001709,-1,36.802025,-2.2626953,76.51678
279823,49439090,88,48.62392,1.0375977,-0.28149414,-1,37.917286,-1.6940918,84.07903
279823,48361385,88,43.3545,-0.7052002,1.8947754,-1,33.17162,2.8554688,74.18664
279823,47887530,88,72.82969,-1.0478516,1.786377,-1,46.051197,0.28448486,71.57769
279823,47946583,88,41.53715,-2.227539,1.0534668,-1,24.887337,1.402832,62.39316
279823,48196325,88,144.49149,0.81689453,1.3552246,-1,40.914062,-1.4912109,140.61424
279823,49512605,88,31.570309,-2.7939453,-2.0136719,-1,34.20671,1.0751953,61.423218
279823,48510540,88,57.06659,2.4990234,0.82263184,-1,73.97502,-0.9227295,128.67332
279823,49182175,88,31.922167,-2.6376953,0.30523682,-1,65.93686,0.7161865,91.240814
279823,49500700,88,50.7649,2.3051758,-0.9682617,-1,72.20127,3.102539,47.00498
279823,49225330,88,30.369383,0.71325684,-0.58984375,-1,20.029507,-1.5214844,44.34243
