Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
279823,47713358,88,35.2936,3.0317383,1.3024902,1,64.698814,-0.37628174,94.72426
279823,48643741,88,39.65274,2.868164,-0.6380615,1,24.694683,-1.3500977,53.732975
279823,49493478,88,67.38768,3.0610352,-2.0922852,1,60.771523,-0.18170166,127.82468
279823,49519820,88,52.253033,1.7561035,-1.1975098,1,53.55611,-0.57128906,97.1543
279823,47906984,88,98.958595,-1.3933105,1.9616699,1,38.492626,2.2319336,119.84532
279823,49511175,88,56.20353,2.3808594,-0.8919678,1,20.850605,-1.0839844,67.57309
279823,48896421,88,37.814304,2.9658203,2.1333008,1,28.834257,-0.82666016,62.574265
279823,47726501,88,32.517567,-1.923584,0.87194824,1,92.69102,2.131836,98.53779
279823,48822159,88,41.458454,-2.8544922,-1.7182617,1,53.07313,0.49194336,93.323715
279823,48891925,88,54.28785,1.7827148,2.1601562,1,24.511108,-2.4501953,62.361996
279823,49678144,88,45.67622,-1.2824707,-2.4174805,1,13.848515,2.5732422,47.12844
279823,49610555,88,36.98415,3.0820312,2.1899414,1,38.62486,-0.41601562,74.39381
279823,48251292,88,118.158714,-3.067871,-0.835083,1,20.036407,1.3383789,78.498215
279823,49199772,88,36.13405,-1.3569336,0.11735535,1,52.6057,1.2653809,84.27501
279823,49683824,88,55.04858,1.0349121,-1.1044922,1,54.29551,-1.9785156,109.117065
279823,49136385,88,35.687115,0.7751465,1.1181641,1,22.687542,-1.8017578,54.655495
279823,48368183,88,47.209854,2.6704102,1.1298828,1,57.774975,-0.0700531,102.358055
279823,49221982,88,59.566616,0.8859863,2.0942383,1,25.969858,2.668457,61.187313
279823,47721211,88,41.394444,-3.008789,-1.809082,1,35.596592,-0.55444336,72.28431
279823,47967690,88,51.438374,-0.70983887,-1.6992188,1,69.607445,1.6867676,111.46752
279823,47914492,88,37.22015,-0.54296875,-2.1831055,1,24.426321,-2.5009766,50.049057
