Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
283830,28832584,15,25.1791,0.6225586,0.9764404,-1,17.666527,-2.2700195,41.855324
283830,29338909,15,34.52069,0.24389648,1.0986328,-1,67.532845,-2.9379883,96.54707
283830,28417370,15,38.190266,2.1425781,1.3103027,-1,44.936543,-0.86657715,82.67102
283830,27532478,15,56.807507,-2.479004,0.8652344,-1,38.24779,0.70739746,93.20239
283830,28722204,15,27.888084,-2.1225586,1.409668,-1,8.596594,0.3171997,29.080032
283830,27517296,15,40.44684,0.41986084,1.3933105,-1,49.064022,-3.0966797,87.534
283830,29376870,15,27.05625,0.49383545,-0.82922363,-1,21.040615,2.1694336,35.463573
283830,28549922,15,34.241642,0.4189453,1.572998,-1,28.172972,-2.118164,59.30313
283830,27805789,15,59.558064,0.10574341,-0.19491577,-1,44.08714,-3.1201172,102.39308
283830,27810464,15,107.643295,0.7121582,-1.4016113,-1,37.262497,-2.119629,125.14919
283830,27580951,15,37.9905,-0.35327148,0.28234863,-1,41.436474,3.083496,78.489525
283830,29222695,15,29.01835,1.5429688,0.8741455,-1,29.8511,-1.2915039,58.170902
283830,28162350,15,28.109568,-1.0249023,-1.1018066,-1,33.38791,-0.1277771,26.571243
283830,28399829,15,38.514446,-0.056617737,-2.2368164,-1,43.73964,2.727539,80.780495
283830,29123146,15,39.123787,0.89367676,-0.4119873,-1,64.23049,2.6176758,76.11078
283830,28126141,15,55.614773,0.62402344,-0.8413086,-1,16.369246,2.1450195,41.594563
283830,28940943,15,45.73398,-1.8146973,0.9916992,-1,52.18998,1.644043,96.48498
283830,29358498,15,30.77729,-0.6455078,0.6425781,-1,26.698769,1.8117676,54.00783
283830,29290175,15,26.774477,1.0131836,-1.1533203,-1,8.699606,1.9106445,13.241949
283830,27663615,15,36.356567,1.7553711,1.6689453,-1,16.703087,-2.09375,46.23358
283830,27996931,15,36.917393,1.4863281,2.0610352,-1,45.358284,-1.536377,81.69699
283830,29281852,15,34.818348,-1.6223145,1.5759277,-1,7.0643306,1.8266602,30.997026
283830,28568206,15,31.413658,-1.6230469,1.7258301,-1,47.87063,-1.4682617,5.9963837
283830,29291196,15,35.078312,-0.08810425,0.94677734,-1,18.39786,1.7312012,40.102356
283830,28488199,15,27.510033,2.1333008,-0.12496948,-1,67.58834,1.8486328,12.233556
283830,28363972,15,33.19195,-1.0532227,1.2219238,-1,34.972393,1.9970703,68.0701
283830,28576381,15,27.554989,-2.53125,-1.4382324,-1,45.621773,-0.25152588,64.428406
283830,29144028,15,51.206562,-1.3059082,-0.52368164,-1,22.990265,-2.6611328,43.02165
283830,29297624,15,55.655193,-1.9379883,-2.3569336,-1,56.74827,2.099121,101.317924
283830,28391046,15,47.05053,-1.6166992,1.3508301,-1,21.662895,2.3657227,58.291218
283830,28915450,15,32.864147,-1.5075684,-0.83776855,-1,45.68857,-1.3220215,7.179516
283830,28449796,15,35.872982,2.3608398,-0.71032715,-1,47.08042,0.19937134,72.51903
283830,27826987,15,26.13579,-2.3408203,-1.1845703,-1,55.442913,0.90563965,76.028
283830,27710537,15,35.501987,-1.5969238,1.3347168,-1,20.702688,0.8375244,50.86724
283830,27841944,15,53.001137,2.5166016,-0.6274414,-1,46.017365,0.11482239,92.09108
283830,28774128,15,50.250977,0.6821289,1.9863281,-1,27.363121,1.9204102,43.039204
283830,27650973,15,49.12351,0.90649414,1.3254395,-1,18.018764,3.0805664,52.674965
283830,28049262,15,38.0775,-1.9584961,-2.128418,-1,40.888924,2.2514648,67.92207
283830,27535342,15,76.981384,-1.4829102,-0.9897461,-1,35.232613,-2.5654297,53.664204
283830,28380453,15,40.521904,1.0317383,-0.53100586,-1,16.161303,-2.6030273,49.633335
