Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
283830,27861269,15,30.923561,-2.4941406,-0.07473755,1,69.670105,-2.7387695,11.326416
283830,28246124,15,26.081926,-2.2387695,1.9836426,1,41.130352,0.5299072,64.370575
283830,27809878,15,56.31158,-1.8496094,0.63720703,1,22.024658,-1.2839355,19.65684
283830,27953541,15,33.776405,1.0793457,-1.9396973,1,16.113462,-2.569336,45.16684
283830,28011942,15,40.44599,0.7664795,-0.5831299,1,39.285496,-2.6987305,78.681656
283830,28123488,15,33.847473,2.8388672,-1.4335938,1,40.789707,-1.020752,69.57568
283830,27489258,15,35.399075,-2.1479492,1.1699219,1,56.01884,1.0864258,88.96629
283830,28130491,15,33.01265,0.7520752,0.66308594,1,20.632826,3.1225586,48.36566
283830,29059755,15,43.964592,-2.4311523,1.1157227,1,49.148785,0.22235107,90.21414
283830,27672636,15,30.53225,1.4887695,-0.5279541,1,29.47399,-1.3625488,59.366104
283830,28970987,15,27.367678,1.1794434,-2.3544922,1,29.627455,3.1220703,47.01975
283830,28725445,15,91.687546,2.900879,-1.2978516,1,51.94892,-1.4372559,114.05564
283830,28084674,15,30.50255,-1.8586426,1.1633301,1,22.345678,0.8914795,51.2179
283830,27803187,15,32.97579,0.028747559,-0.3843994,1,6.791234,1.3056641,17.836828
283830,28760487,15,32.871292,-2.8569336,-0.7939453,1,20.03029,1.6193848,40.3092
283830,29123152,15,35.96757,2.209961,2.2270508,1,51.344685,-0.7105713,85.42304
283830,28876697,15,28.628904,-1.9072266,-0.8039551,1,51.823135,1.9445801,72.229744
283830,27992992,15,28.072313,-1.9069824,1.0947266,1,10.582316,1.4228516,34.31887
283830,28208483,15,34.642284,1.0524902,0.17041016,1,55.47559,-1.6977539,86.003555
283830,27703323,15,38.577606,2.8984375,0.04601288,1,47.34543,-0.10437012,85.26881
283830,28674049,15,28.220963,2.4692383,2.1704102,1,25.157827,-0.6435547,53.285305
283830,29019782,15,25.52621,2.2714844,2.2583008,1,23.766386,-1.4868164,46.93774
283830,29367844,15,53.889786,-2.7612305,1.5888672,1,3.799835,1.1730957,26.400839
283830,28706170,15,35.212692,1.8769531,0.7180176,1,40.648617,-0.6549072,72.17712
283830,29205496,15,34.197205,1.5358887,-0.6171875,1,26.69608,2.2475586,21.052017
283830,28326450,15,27.657589,-2.864746,1.7294922,1,39.187336,-1.1862793,48.99588
283830,28108617,15,29.331953,1.7072754,1.9650879,1,25.582354,-1.769043,54.020645
283830,28849689,15,31.823133,0.10783386,0.5703125,1,46.49831,3.1347656,76.80791
283830,27836334,15,46.20719,2.5703125,0.17965698,1,51.099915,1.8654785,33.544743
283830,28456276,15,26.979956,-0.5683594,1.6242676,1,27.880224,-0.18841553,10.3579235
283830,28177385,15,40.234833,0.76538086,1.5874023,1,52.244484,-2.0166016,90.21792
283830,28688509,15,27.07579,-2.4282227,0.5300293,1,21.217222,-0.021896362,44.73326
283830,28975836,15,76.20563,1.0212402,-0.83447266,1,57.296413,-1.5170898,126.189674
283830,28505718,15,48.78607,1.498291,-0.35131836,1,50.652523,-1.6867676,99.3976
283830,28759758,15,30.105074,2.633789,-1.7390137,1,11.158107,-0.36376953,36.560986
283830,27712522,15,29.457735,0.5578613,-0.023643494,1,35.725655,-1.1345215,48.580635
283830,28392199,15,39.232628,-1.2539062,-0.1998291,1,58.830856,1.810791,96.014145
283830,27439565,15,37.47859,-2.2529297,-0.9367676,1,51.96358,0.5308838,86.85298
283830,27482778,15,26.373219,3.1313477,1.4187012,1,29.774427,-1.2236328,46.042686
283830,28006043,15,29.22496,-1.3430176,1.463623,1,77.16802,1.9035645,94.84774
283830,28449573,15,45.94647,2.0371094,-0.74401855,1,17.316898,-1.5341797,55.117508
283830,28198179,15,36.848076,2.0263672,-0.7381592,1,29.917263,-0.5350342,63.63001
283830,28570892,15,26.10974,-2.9458008,0.36212158,1,48.259125,1.3510742,59.47535
283830,28743171,15,36.121082,1.6235352,1.8134766,1,19.39607,-1.0019531,51.18513
283830,27832016,15,49.94031,0.6998291,0.8432617,1,71.3326,0.72436523,1.4644359
283830,28729547,15,52.22497,-1.5698242,1.0036621,1,3.924839,2.4667969,25.814165
283830,28885473,15,36.261543,-2.368164,-0.86486816,1,53.08352,0.71728516,87.71257
283830,27441127,15,43.405178,0.6928711,0.8006592,1,45.26273,-3.0673828,84.44098
283830,27775698,15,27.08591,2.584961,-2.0117188,1,55.34671,-0.50964355,77.415474
